Total score,Total
Kön?,Sex
Hur gammal är du?,Age
Vad hände samtidigt som Apollos månlandning? [Score],Item1
När startade andra världskriget? [Score],Item2
När föll Berlinmuren? [Score],Item3
Vilket år vann Barack Obama sitt första presidentval? [Score],Item4
När fick kvinnor rösträtt i Sverige? [Score],Item5
När kröntes Gustav Vasa till kung av Sverige? [Score],Item6
Vad hände 1986? [Score],Item7
När öppnade Öresundsbron  [Score],Item8
När skedde terrorattacken mot tvillingtornen i New York? [Score],Item9
När skedde skotten i Sarajevo? [Score],Item10
Vad hände sist? [Score],Item11
När krönte sig Napoleon till kejsare av Frankrike? [Score],Item12
"När kom George Orwells ""1984""? [Score]",Item13
När avskaffades slaveriet i USA? [Score],Item14
När uppfanns boktryckarkonsten? [Score],Item15
När drabbades indiska oceanen av en enorm tsunami? [Score],Item16
När blev Sverige och Norge en union? [Score],Item17
När upplöstes Sovjetunionen? [Score],Item18
När blev Indien självständigt? [Score],Item19
När fick Sverige sin första kvinnliga statsminister? [Score],Item20
I vilken stat/land föddes Marie Curie? [Score],Item21
När lanserades iPhone? [Score],Item22
Den sista missväxten i Sverige som ledde till svält inföll år [Score],Item23
Madonna föddes år  [Score],Item24
Vilken av följande personer är Karl XI? [Score],Item25
När byggdes Stockholms stadshus? [Score],Item26
Under vilken period regerade Margaret Thatcher Storbritanien? [Score],Item27
Filmen Alien hade premiär  [Score],Item28
"Vad betyder ""mångfasetterad""? [Score]",Item29
"Vad betyder ""pseudonym""? [Score]",Item30
"Vad betyder ""provocera""? [Score]",Item31
"Vad betyder ""yrkande""? [Score]",Item32
"Vad betyder ""lomma iväg""? [Score]",Item33
"Vad betyder ""sediment""? [Score]",Item34
"Vad betyder ""gått i stå""? [Score]",Item35
"Vad betyder ""överlag""? [Score]",Item36
"Vad betyder ""demografi""? [Score]",Item37
"Vad betyder ""vidimera""? [Score]",Item38
"Vad betyder ""idog""? [Score]",Item39
"Vad betyder ""påfallande""? [Score]",Item40
"Vad betyder ""delge""? [Score]",Item41
"Vad betyder ""antiseptisk""? [Score]",Item42
"Vad betyder ""föresats"" [Score]",Item43
