Timestamp,time
Hur tålmodig skulle du skatta dig själv från 1-10?,ControlItem
Kön,Sex
Ålder,Age
Om jag kommer fram till min destination och det öppnar om en kvart har jag inga problem att stanna kvar och vänta tills det öppnar.,Item1
Jag upplever ofta att maten dröjer för länge när jag är ute på restaurang.,Item2
Jag blir irriterad när någon pratar långsamt.,Item3
När jag åker buss tycker jag om att titta ut genom fönstret utan musik eller annan underhållning. ,Item4
Jag kan se en hel film utan att ta upp telefonen eller pausa filmen för att göra något annat.,Item5
Jag är mindre tålmodig än de i min omgivning.,Item6
Köer är det värsta jag vet.,Item7
Om någon går långsamt måste jag gå om dem. ,Item8
Jag kan stå stilla hela vägen upp för rulltrappan. ,Item9
Jag ställer mig upp innan dörrarna öppnat på flygplanet. ,Item10
Jag ställer mig upp innan bussen är framme på min hållplats.,Item11
Jag blir arg när jag hamnar bakom en EPA-traktor (som förare eller passagerare). ,Item12
Jag har svårt att läsa ut böcker.,Item13
"Jag kör alltid om bilen framför mig, om jag kan. ",Item14
Om en serie är tråkig slutar jag titta innan första avsnittet är slut.,Item15
"Jag tycker att det är fruktansvärt att vänta på information från andra (till exempel emails, tentaresultat, dokument).",Item16
Jag provsmakar alltid det jag köpt innan jag kommer hem.,Item17
Jag har inga problem med att ta långa promenader utan att ta upp telefonen eller lyssna på musik.,Item18
Jag går snabbare än andra människor i min omgivning. ,Item19
"Jag cyklar/ tar bilen istället för att gå, även om det inte är långt.",Item20
Jag tycker att det är jobbigt att inte kolla på notiser direkt när jag får dem.,Item21
Om någon tar lång tid på sig att berätta något blir jag otålig. ,Item22
Jag gör hellre saker snabbt och lite slarvigt än långsamt och mer genomtänkt. ,Item23
Jag tycker bättre om att starta upp saker än att avsluta dem. ,Item24
Jag gillar inte att strosa i butiker.,Item25
Jag gillar inte att vänta på andra.,Item26
Jag upplever ofta att andra är för långsamma. ,Item27
Jag gillar att ta min tid. ,Item28
Jag tycker att det är jobbigt om någon tar lång tid på sig i kassan framför mig.,Item29
"Jag väljer alltid självutcheckning om jag kan, för att slippa kön. ",Item30
Jag kan bli vansinnig när de framför mig i kassan strular med kortet.,Item31
Andra människor brukar säga till mig att jag har dåligt tålamod. ,Item32
Jag behöver inte vara bra på allt jag gör med en gång.,Item33
Jag tycker om att lära mig nya saker. ,Item34
Jag följer ofta mina paketleveranser noga.,Item35
"Jag byter matställe om jag kommer dit och inser att det finns en kö, även om jag ville äta där jag först planerat. ",Item36
Jag hatar att vänta på att bakverk ska bli klara när jag bakar. ,Item37
Jag ogillar uttrycket “den som väntar på något gott väntar aldrig för länge”. ,Item38
Jag tycker att det här formuläret var för långt.,Item39
Jag använder följande sociala medier varje dag: (klicka i de du använder dagligen),Item40
Jag använder sociala medier mer än personer i min omgivning.,Item41
